;;
;;"Karaokefreak 
Songliste 
sortiert nach Interpreten"
;;
123;;
;3 Doors Down;
;;Kryptonite
;4 Non Blondes;
;;What's up
A;;
;A Great Big World & Christina Aguilera;
;;Say Something
;A-Ha;
;;Take On Me
;ABBA;
;;Dancing Queen
;;Mamma Mia
;;Money Money Money
;;Super Trouper
;;Take a Chance on me
;;Thank You For The Music
;;Waterloo
;ABC;
;;The Look Of Love
;AC / DC;
;;Highway to Hell
;;T.N.T.
;;Thunderstruck
;;You shook me all Night long
;Adam and the Ants;
;;Stand And Deliver
;Adele;
;;Make You Feel My Love
;;Rolling In The Deep
;;Set Fire To The Rain
;;Skyfall
;;Someone Like You
;Aerosmith;
;;I Don't Want To Miss A Thing
;AFI;
;;Miss Murder
;Aladdin   (Disney);
;;A Whole New World
;Alanis Morissette;
;;Ironic
;;Hand in my pocket
;;You oughta' know
;Alannah Myles;
;;Black Velvet
;Alexander Burke;
;;Hallelujah
;Alice in Chains;
;;Down in a Hole (Unplugged)
;;Rooster
;;Would
;Alicia Keys;
;;Girl On Fire
;All Saints;
;;Never Ever
;Amy Winehouse;
;;Back To Black
;;Rehab
;Andy Williams;
;;Can't Take My Eyes Off You
;Animals;
;;House Of The Rising Sun
;Annie Lennox;
;;Don't let it bring you down
;Annie Soundtrack;
;;Tomorrow
;Aqua;
;;Barbie Girl    (Duett)
;Ariana Grande feat Iggy Azalea ;
;;Problem
;Avicii ;
;;Hey Brother
;Avicii feat. Aloe Blacc ;
;;Wake Me Up
;Ärzte, die;
;;Junge
;;Mach die Augen zu
;;Männer sind Schweine
;;Schrei nach Liebe
;;Westerland
;;Zu spät
B;;
;B52s ;
;;Love Shack
;;
;Backstreet Boys ;
;;Everybody (Backstreet's Back)
;;I Want It That Way
;Bad Manners;
;;Lip Up Fatty
;Bad Religion;
;;Generator
;;No Control
;Band Aid ;
;;Do They Know It's Christmas
;Bangles ;
;;Eternal Flame
;;Manic Monday
;Barry Manilow ;
;;Copacabana (At The Copa)
;Bastille ;
;;Pompeii
;Beach Boys, the;
;;Barbara Ann
;;Be True to your School
;;California Girls
;;Darlin'
;;Good Vibrations
;;Help Me Rhonda
;;I get around
;;Surfer Girl
;;Surfin' USA
;Beatles, the;
;;A Day in a Life
;;A Hard Day's Night
;;All my loving
;;All you need is Love
;;Back in the U.S.S.R.
;;Eight Days a Week
;;Fool on the Hill
;;Get Back
;;Getting Better
;;Got to get you into my Life
;;Help!
;;Hey Jude
;;Hey Jude (kurze Version)
;;I am the Walrus
;;I saw her standing there
;;I want to hold your Hand
;;If I needed someone
;;In My Life
;;Let it be
;;Lucy in the Sky with Diamonds
;;Night Before
;;Norwegian Wood
;;Octopus's Garden
;;Paperback Writer
;;Rain
;;Something
;;Strawberry Fields
;;Taxman
;;Ticket to Ride
;;Tomorrow never knows
;;Twist And Shout
;;While my Guitar gently weeps
;;Why don't we do it in the Road
;;Yellow Submarine
;;Yesterday
;;You've got to hide your love away
;Beautiful South;
;;A little Time
;Bee Gees;
;;Stayin' Alive
;Belinda Carlisle ;
;;Heaven Is A Place On Earth
;Bellamy Brothers ;
;;Let Your Love Flow
;Ben E. King ;
;;Stand By Me
;Bette Midler ;
;;The Rose
;;Wind Beneath My Wings
;Beyoncé ;
;;Crazy In Love [With Rapper]
;;Halo
;;If I Were A Boy
;;Listen
;;Single Ladies (Put A Ring On It)
;Bill Medley & Jennifer Warnes ;
;;(I've Had) The Time Of My Life
;Bill Withers ;
;;Ain't No Sunshine
;Billie Jo Spears ;
;;Blanket On The Ground
;Billy Joel ;
;;Piano Man
;;Scenes from an Italian Restaurant
;;She's Always A Woman
;;Uptown Girl
;Billy Ocean ;
;;When the Going Gets Tough, The Tough Get Going
;Billy Ray Cyrus ;
;;Achy Breaky Heart
;Birdy ;
;;Skinny Love
;Black Eyed Peas ;
;;I Gotta Feelin'
;Blondie;
;;Call Me
;Blur ;
;;Parklife
;Bob Marley ;
;;Three Little Birds
;Bob Seger;
;;The Famous Final Scene
;Bobby Darin ;
;;Mack The Knife
;Bon Jovi;
;;Always
;;Livin' on a Prayer
;;Wanted Dead Or Alive
;Bonnie Tyler ;
;;Holding Out For A Hero
;;Total Eclipse Of The Heart
;Boyzone ;
;;Words
;Brenda Lee ;
;;Rockin' Around The Christmas Tree
;Britney Spears ;
;;Baby One More Time
;;Toxic
;Brooks & Dunn;
;;Boot Scootin' Boogie
;Brother Beyond;
;;The Harder i Try
;Bruce Channel ;
;;Boot Scootin' Boogie
;Bruce Springsteen ;
;;Born In The U.S.A.
;;Dancing In The Dark
;;Thunder Road
;Bruno Mars ;
;;Just The Way You Are (Amazing)
;;Locked Out Of Heaven
;;Marry You
;;The Lazy Song
;;Uptown Funk
;;When I Was Your Man
;Bryan Adams ;
;;(Everything I Do) I Do It For You
;;Summer Of '69
;Bucks Fizz ;
;;Making Your Mind Up
;Buddy Holly ;
;;Peggy Sue
;;That'll Be The Day
;;True Love Ways
C;;
;Carly Rae Jepsen ;
;;Call Me Maybe
;Carly Simon ;
;;Nobody Does It Better
;;You're So Vain
;Carpenters ;
;;(They Long To Be) Close To You
;;Top Of The World
;;We've Only Just Begun
;Cee Lo Green ;
;;Forget You
;Celine Dion ;
;;My Heart Will Go On
;;The First Time Ever I Saw Your Face
;;Think Twice
;Cher ;
;;If I Could Turn Back Time
;;Walking In Memphis
;Chesney Hawkes ;
;;The One And Only
;Chicago (Musical);
;;All That Jazz
;Chordettes, the;
;;Lollipop
;Chris De Burgh ;
;;Lady In Red
;Chris Rea ;
;;Driving Home For Christmas
;Christina Aguilera ;
;;Beautiful
;;Genie in a Bottle
;Christina Perri ;
;;A Thousand Years
;;Jar Of Hearts
;Chuck Berry ;
;;Johnny B. Goode
;;No Particular Place To Go
;Clash ;
;;Should I Stay Or Should I Go
;Clean Bandit feat Jess Glynne ;
;;Rather Be
;Coldplay;
;;Fix You
;;Paradise
;;The Scientist
;;Viva La Vida
;;Yellow
;Commitments ;
;;Mustang Sally
;;Easy
;Communards, the;
;;Don't  Leave Me This Way
;Coolio ;
;;Gangsta's Paradise
;Cooper, Alice;
;;Poison
;;School's out
;Clash, the;
;;I fought the Law
;Cranberries ;
;;Zombie
;Creedence Clearwater Revival ;
;;Bad Moon Rising
;Culture Club ;
;;Karma Chameleon
;Cyndi Lauper ;
;;Girls Just Want To Have Fun
;;Time After Time
;;True Colours
D;;
;Daft Punk feat Pharrell Williams ;
;;Get Lucky
;David Bowie;
;;Heroes
;;Let's Dance
;;Life On Mars
;;Space oddity
;;Starman
;David Guetta feat. Sia ;
;;Titanium
;David Lee Roth;
;;Just a Gigolo
;Deacon Blue ;
;;Dignity
;Dead or Alive;
;;You spin me round (like a record)
;Dean Martin ;
;;Let It Snow! Let It Snow! Let It Snow!
;;Little Ole Wine Drinker Me
;;That's Amore
;Del Shannon ;
;;Runaway
;Depeche Mode;
;;Freelove
;;Just Can't Get Enough
;;Personal Jesus
;;Stripped
;Destiny's Child ;
;;Say My Name
;Dexy's Midnight Runners ;
;;Come On Eileen
;Diana Ross ;
;;Chain Reaction
;;Endless Love   (feat Lionel Richie)
;Dido ;
;;White Flag
;Dire Straits ;
;;Romeo And Juliet
;;Walk Of Life
;Dolly Parton ;
;;9 To 5
;;Jolene
;Don McLean ;
;;American Pie
;Donna Summer ;
;;Hot Stuff
;Duffy ;
;;Mercy
;Duran Duran ;
;;Is There Something i Should Know
;;Rio
;Dusty Springfield ;
;;Son Of A Preacher Man
E;;
;Eagles ;
;;Desperado
;;Hotel California
;;Lyin' Eyes
;Ed Sheeran ;
;;Lego House
;;Sing
;;Shape of you
;;The A Team
;;Thinking Out Loud
;Edith Piaf;
;;Non je ne regrette rien
;Elaine Paige And Barbara Dickson ;
;;I Know Him So Well
;Ella Henderson ;
;;Ghost
;Ellie Goulding ;
;;Burn
;;How Long Will I Love You
;Elton John ;
;;I Guess That's Why They Call It The Blues
;;Rocket Man
;;Your Song
;Elton John And Kiki Dee ;
;;Don't Go Breaking My Heart
;Elvis Presley ;
;;Always On My Mind
;;Can't Help Falling In Love
;;In The Ghetto
;;Suspicious Minds
;;The Wonder Of You
;Emeli Sande ;
;;Clown
;;Read All About It (Part III)
;Enrique Iglesias ;
;;Hero
;Erasure ;
;;A Little Respect
;Eric Clapton ;
;;Wonderful Tonight
;Etta James ;
;;At Last
;Eurythmics ;
;;Sweet Dreams (Are Made Of This)
;Eva Cassidy ;
;;Over The Rainbow
;Ewoks, The (Star Wars);
;;Yub Nub
;Extreme ;
;;More Than Words (With Harmony)
F;;
;Fairground Attraction ;
;;Perfect
;Fall Out Boy;
;;This ain't a scene, it's an arms race
;Feargal Sharkey;
;;A Good Heart
;Flatt & Scruggs;
;;Ballad of Jed Clampett
;;Salty Dog
;Fleetwood Mac ;
;;Dreams
;;Go Your Own Way
;Florence + The Machine ;
;;You've Got The Love
;Foundations ;
;;Build Me Up Buttercup
;Frank Sinatra ;
;;Come Fly With Me
;;Fly Me To The Moon
;;My Way
;;New York, New York
;;That's Life
;;The Lady is a Tramp
;Frank Zappa;
;;Bobby Brown
;;Broken Hearts are for Assholes
;;Dancing Fool
;;Dinah Moe Humm
;;Flakes
;;He's so Gay
;;Jewish Princess
;;Valley Girl
;Frankie Goes To Hollywood ;
;;Relax
;;The Power Of Love
;Free ;
;;All Right Now
;Frozen   (Disney);
;;Do You Want To Build A Snowman
;;For The First Time In Forever
;;Love Is An Open Door
;Fugees ;
;;Killing Me Softly
;Fun feat. Janelle Monae ;
;;We Are Young
G;;
;Gabriel, Peter;
;;Sledgehammer
;;Steam
;Gary Barlow ;
;;Let Me Go
;George Ezra ;
;;Budapest
;George Michael;
;;Careless Whisper
;;Freedom '90
;;Killer / Papa was a Rolling Stone
;George Michael And Elton John ;
;;Don't Let The Sun Go Down On Me
;Gerry & The Pacemakers ;
;;You'll Never Walk Alone
;Glee Cast ;
;;Defying Gravity
;Glen Campbell ;
;;Rhinestone Cowboy
;Gloria Gaynor;
;;I Am What I Am
;;I will survive
;;Never Can Say Goodbye
;Goo Goo Dolls ;
;;Iris
;Gotye feat. Kimbra ;
;;Somebody That I Used To Know (Duet Version)
;Go West;
;;We Close Our Eyes
;Green Day;
;;Basket Case
;;Brain Stew
;;Good Riddance (Time of your life)
;;Walking Contradiction
;;When I come around
;Groenemeyer, Herbert;
;;Alkohol
;;Männer
;Guns N Roses;
;;Sweet Child o' Mine
H;;
;Hall & Oates;
;;Private Eyes
;Heart ;
;;Alone
;Heroes Del Silencio;
;;Entre dos tierras
;High School Musical;
;;Bop to the Top
;;Breaking Free
;;Get'cha Head in the Game
;;Start of Something New
;;What I've been Looking for
;;When there was me and you
;Housemartins ;
;;Happy Hour
;Hozier ;
;;Take Me To Church
;Human League ;
;;Don't You Want Me
I;;
;Icona Pop ;
;;I Love It
;Idina Menzel ;
;;Let It Go
;Ike And Tina Turner ;
;;River Deep Mountain High
;Imagine Dragons ;
;;Radioactive
;Irene Cara ;
;;Fame
;;Flashdance… What A Feeling
;Iron Maiden;
;;Run to the Hills
J;;
;Jackson 5;
;;Blame It On The Boogie
;Jam, the;
;;A Town Called Malice
;James ;
;;Sit Down
;James Arthur ;
;;Impossible
;James Blunt ;
;;You're Beautiful
;Janis Joplin;
;;Me and Bobby McGee
;Jason Derulo ;
;;Trumpets
;Jason Donovan ;
;;Any Dream Will Do
;;Too Many Broken Hearts
;Jason Mraz ;
;;I'm Yours
;Jay-Z feat. Alicia Keys;
;;Empire State Of Mind [Duet Version]
;Jepsen, Carly Rae;
;;Call me Maybe
;Jessie J ;
;;Domino
;;Price Tag (For Solo Female)
;Jessie J feat Ariana Grande and Nicki Minaj ;
;;Bang Bang
;Jesus Christ Superstar (Musical);
;;Heaven on their Minds
;Jet;
;;Are you gonna be my Girl?
;Jimmy Buffet;
;;Why don't we get drunk and screw
;Joe Cocker And Jennifer Warnes ;
;;Up Where We Belong
;Joe Dassin;
;;Les Champs Elysees
;John Denver ;
;;Annie's Song
;;Take Me Home, Country Roads
;John Legend ;
;;All Of Me
;John Lennon ;
;;Imagine
;;Whatever gets you through the Night
;John Newman ;
;;Love Me Again
;John Travolta  ;
;;Greased Lightning    (Grease)
;;Summer Nights   (Grease)
;;The Grease Megamix   (Grease)
;;You're The One That I Want    (Grease)
;Johnny Cash ;
;;Folsom Prison Blues
;;I Walk The Line
;;Ring Of Fire
;Johnny Cash And June Carter ;
;;Jackson
;Journey;
;;Don't stop believing
;Jungle Book  (Disney);
;;Bare Necessities
;;I Wanna Be Like You
;Justin Bieber ;
;;Baby (Justin Part Only)
;;Boyfriend
;Justin Timberlake ;
;;Mirrors
K;;
;Kate Bush ;
;;Wuthering Heights
;Katrina & The Waves ;
;;Walking On Sunshine
;Katy Perry ;
;;Firework
;;I Kissed A Girl
;;Last Friday Night (T.G.I.F.)
;;Roar
;Katy Perry feat Juicy J ;
;;Dark Horse (For Solo Female)
;Keane ;
;;Somewhere Only We Know
;Keimzeit;
;;Kling Klang
;Kelly Clarkson ;
;;Since U Been Gone
;Kenny Rogers ;
;;The Gambler
;Kenny Rogers And Dolly Parton ;
;;Islands In The Stream
;Kids Karaoke ;
;;Twinkle Twinkle Little Star
;Killers, the;
;;Human
;;Mr Brightside
;Kim Wilde;
;;Kids in America
;Kings of Leon;
;;Sex on Fire
;;Use Somebody
;Kinks ;
;;Lola
;Klaus Lage-Band;
;;1001 Nacht
;Kunze, Heinz Rudolf;
;;Dein ist mein ganzes Herz
;Kylie Minogue ;
;;Can't Get You Out Of My Head
;;I Should Be So Lucky
;;Santa Baby
;Kylie Minogue And Jason Donovan ;
;;Especially For You
L;;
;Labrinth feat. Emeli Sande ;
;;Beneath Your Beautiful
;Lady Antebellum ;
;;Need You Now
;Lady Gaga;
;;Bad Romance
;;Born This Way
;;Poker Face
;Lana Del Rey ;
;;Video Games
;Leona Lewis ;
;;Bleeding Love
;;Run
;Les Miserables ;
;;Bring Him Home
;;Do You Hear The People Sing
;;I Dreamed A Dream
;;On My Own
;Lily Allen ;
;;Somewhere Only We Know
;Linkin Park;
;;In the End
;Lion King, the  (Disney);
;;Can You Feel The Love Tonight
;;Hakuna Matata
;;I Just Can't Wait To Be King
;Lionel Richie ;
;;All Night Long
;;Hello
;;Stuck On You
;Little Mermaid, the  (Disney);
;;Part Of Your World
;;Under The Sea
;Little Mix ;
;;DNA
;;Move
;;Wings
;LMFAO ;
;;Sexy And I Know It
;Lorde ;
;;Sexy And I Know It
;Louis Armstrong ;
;;We Have All The Time In The World
;Lumineers ;
;;Ho Hey
;Lynyrd Skynyrd ;
;;Sweet Home Alabama
M;;
;Mac Davis;
;;Watchin' Scotty Grow
;Madness;
;;Baggy Trousers
;;House Of Fun
;;It Must Be Love
;;Our House
;Madonna;
;;American Life
;;Die Another Day
;;Don't cry for me Argentina
;;Don't tell me
;;Express yourself
;;Fever
;;Holiday
;;Into the Groove
;;Like a Prayer
;;Like a Virgin
;;Material Girl
;;Lucky Star
;;Open your Heart
;;Rain
;;Take a bow
;;Vogue
;;Who's that Girl?
;Magic ;
;;Rude
;Mama Cass ;
;;Dream A Little Dream Of Me
;Mamas And The Papas ;
;;California Dreamin'
;Marc Almond;
;;Tears Run Rings
;Mariah Carey ;
;;All I Want For Christmas Is You
;;Hero
;Mark Jonathan Davis;
;;Star Wars Cantina
;Mark Ronson;
;;Uptown Funk
;Mark Ronson feat. Amy Winehouse ;
;;Valerie
;Maroon 5 feat. Christina Aguilera ;
;;Moves Like Jagger
;Mary Poppins ;
;;Supercalifragilisticexpialidocious
;Mavericks ;
;;Dance The Night Away
;Meat Loaf ;
;;Bat Out Of Hell
;;Dead Ringer for Love
;;I'd Do Anything For Love (But I Won't Do That) (Duet)
;;Paradise By The Dashboard Light
;;Two Out Of Three Ain't Bad
;Meghan Trainor ;
;;All About That Bass
;;Lips Are Movin'
;Mel and Kim;
;;Respectable
;Men at Work;
;;Down Under
;Metallica;
;;Nothing Else Matters
;Michael Buble ;
;;Cry Me A River
;;Feeling Good
;;Haven't Met You Yet
;;Home
;Michael Jackson;
;;Beat It
;;Billie Jean
;;Man In The Mirror
;;Scream - (feat. Janet Jackson)
;;Thriller
;Miley Cyrus ;
;;Party In The U.S.A.
;;The Climb
;;We Can't Stop
;;Wrecking Ball
;Monkees, the;
;;Daydream Believer
;;I'm A Believer
N;;
;Nancy Sinatra ;
;;These Boots Are Made For Walkin'
;Natalie Imbruglia ;
;;Torn
;Neil Diamond ;
;;Forever In Blue Jeans
;;Hello Again
;;Love On The Rocks
;;Sweet Caroline
;Nena;
;;99 Luftballons
;;99 Red Balloons (Englische Version)
;Nik Kershaw;
;;I Won't let The Sun Go Down On Me
;No Doubt ;
;;Don't Speak
;Nolans ;
;;I'm In The Mood For Dancing
O;;
;Oasis;
;;Champagne Supernova
;;Don't Look Back In Anger
;;She's Electric
;;Wonderwall
;Ocean Color Scene;
;;You've got it bad
;Oingo Boingo;
;;Weird Science
;Olivia Newton-John;
;;Hopelessly Devoted To You
;Olly Murs ;
;;Dance With Me Tonight
;;Dear Darlin'
;Olly Murs feat Travie McCoy ;
;;Wrapped Up (With Rap)
;Olly Murs feat. Flo Rida ;
;;Troublemaker (With Rap)
;One Direction ;
;;Best Song Ever
;;One Way Or Another (Teenage Kicks)
;;Story Of My Life
;;What Makes You Beautiful
;;You And I
;OneRepublic ;
;;Counting Stars
;Otis Redding ;
;;(Sittin' On) The Dock Of The Bay
;Outkast ;
;;Hey Ya
P;;
;Passenger ;
;;Let Her Go
;Patsy Cline ;
;;Crazy
;Paul Simon ;
;;You Can Call Me Al
;Paul Young;
;;Love Of The Common People
;Pearl Jam;
;;Black
;;Jeremy
;;Last Kiss
;Peter Gabriel ;
;;Sledgehammer
;;Steam
;Pet Shop Boys;
;;West End Girls
;Peter Schilling;
;;Major Tom (Völlig losgelöst)
;Pharrell Williams ;
;;Happy
;Phil Collins & Philip Bailey;
;;Easy Lover
;Pink feat. Nate Ruess ;
;;Just Give Me A Reason
;Pitbull feat Kesha ;
;;Timber
;Pogues feat. Kirsty MacColl ;
;;Fairytale Of New York
;Police, The;
;;Every Little Thing She Does Is Magic
;;Message in a Bottle
;Prince ;
;;Purple Rain
;Proclaimers ;
;;I'm Gonna Be (500 Miles) (With Harmony)
;Pulp ;
;;Common People
Q;;
;Queen;
;;Another one bites the dust
;;Body Language
;;Bohemian Rhapsody
;;Bicycle Race
;;Crazy little thing called Love
;;Don't stop me now
;;Keep yourself alive
;;Killer Queen
;;Now I'm here
;;Play the Game
;;Radio Gaga
;;Somebody to Love
;;The show must go on
;;Tie your mother down
;;Under Pressure
;;We are the Champions
;;We Will Rock You
;;You are my best friend
R;;
;Radiohead ;
;;Creep
;Rag n' Bone Man;
;;Human
;Red Hot Chili Peppers;
;;Aeroplane
;;By the way
;;Californication
;;Give it Away
;;Higher Ground
;;Otherside
;;Scar Tissue
;;Sir Psycho Sexy
;;Under the Bridge
;R.E.M. ;
;;Losing My Religion
;Rick Astley;
;;Never Gonna Give You Up
;;Together Forever
;Ricky Martin ;
;;Livin' La Vida Loca
;Right Said Fred ;
;;I'm Too Sexy
;Righteous Brothers ;
;;Unchained Melody
;;You've Lost That Lovin' Feelin' (Duett)
;Rihanna;
;;Diamonds
;;Don't Stop The Music
;;Umbrella 
;;Umbrella  [Ohne Rap]
;;Umbrella (Acoustic Version)
;Rihanna feat. Calvin Harris ;
;;We Found Love
;Rihanna feat. Mikky Ekko ;
;;Stay
;Rio Reiser;
;;König von Deutschland
;Robbie Williams ;
;;Angels
;;Candy
;;Let Me Entertain You
;;Mr Bojangles
;;Rock DJ
;Robin Thicke feat. T.I. And Pharrell ;
;;Blurred Lines
;Rocky Horror Picture Show ;
;;Time Warp
;Rod Stewart ;
;;Maggie May
;Rolling Stones, the;
;;Ain't too proud to beg
;;Angie
;;Beast of Burdon
;;Brown Sugar
;;Dance little sister
;;Fool to Cry
;;Gimme Shelter
;;Happy
;;Honky Tonk Woman
;;It's only Rock n' Roll
;;Jumpin' Jack Flash
;;Out of Tears
;;Miss You
;;Not Fade Away
;;Paint it Black
;;Rip this Joint
;;Ruby Tuesday
;;(I can't get no) Satisfaction
;;Shattered
;;Some Girls
;;Start me up
;;Sympathy for the Devil
;;Time is on my side
;;Tumbling Dice
;;Waiting on a friend
;;You can't always get what you want
;Ronan Keating ;
;;When You Say Nothing At All
;Rose Royce ;
;;Car Wash
; Roy Orbison;
;;Oh Pretty Woman
;;Only The Lonely
;;Penny Arcade
;;Running Scared
S;;
;S Club 7 ;
;;Reach
;Sam Smith ;
;;I'm Not The Only One
;;Money On My Mind
;;Stay With Me
;Sandie Shaw ;
;;Puppet On A String
;Sandie Shaw ;
;;Puppet On A String
;Scherzinger, Nicole;
;;Baby Love
;Scissor Sisters;
;;Land of a Thousand Words
;;She's my Man
;Scorpions, the;
;;Wind of Change
;Scott McKanzie;
;;San Francisco
;Scotty Emerick;
;;Coast is Clear
;Script, The;
;;The Man Who Can't Be Moved
;;We Cry
;Script feat will.i.am ;
;;Hall Of Fame
;Seal;
;;Crazy
;Seeed;
;;Augenbling
;Seldom Scene;
;;House of Gold
;;Muddy Water
;;Old Train
;Shaggy feat. RikRok ;
;;It Wasn't Me
;Shakespear's Sister ;
;;Stay
;Shakin' Stevens ;
;;Merry Christmas Everyone
;;This Ole House
;Shania Twain ;
;;Man! I Feel Like A Woman
;;You're Still The One
;Shirley Bassey ;
;;Big Spender
;Showaddywaddy ;
;;Under The Moon Of Love
;Sia;
;;Chandelier
;Simon and Garfunkel;
;;Bridge Over Troubled Water
;;Me & Julio down by the Schoolyard
;;Scarborough Fair
;;Sound of silence, the
;Sinead O'Connor ;
;;Nothing Compares 2 U
;Sister Sledge ;
;;Frankie
;;We Are Family
;Slade ;
;;Merry Xmas Everybody
;Smokie ;
;;Living Next Door To Alice
;Snow Patrol ;
;;Chasing Cars
;;Run
;Soft Cell ;
;;Tainted Love
;Sonia ;
;;You'll Never Stop me From Loving You
;Sonny And Cher ;
;;I Got You Babe
;Sound Of Music;
;;Do-Re-Mi
;Soundgarden;
;;Black Hole Sun
;;Burden in my hand
;Spandau Ballet ;
;;Gold
;;Through The Barricades (Full Version)
;;True
;Spice Girls ;
;;Spice Up Your Life
;;Stop
;;Wannabe
;Spider Murphy Gang;
;;Skandal im Sperrbezirk
;Starship ;
;;Nothing's Gonna Stop Us Now
;Stealers Wheel ;
;;Stuck In The Middle With You
;Stereophonics ;
;;Dakota
;;Handbags And Gladrags
;Steve Harley & Cockney Rebel ;
;;Make Me Smile (Come Up And See Me)
;Stevie Wonder;
;;For Once in my Life
;;Happy Birthday
;;Higher Ground
;;I just called to say I love you
;;I Wish
;;Living for the City
;;Lately
;;Master Blaster (Jammin')
;;My Cherie Amour
;;Part Time Lover
;;Signed, Sealed, Delivered I'm Yours
;;Sir Duke
;;Superstition
;;You are the sunshine of my life
;Stray Cats, the ;
;;Runaway Boys
;Sugarhill Gang ;
;;Rapper's Delight
;Supremes, the;
;;Baby Love
;;Stop! In the Name of Love
;;You can't hurry love
;;You keep me hangin' on
;Survivor ;
;;Eye Of The Tiger
;Steely Dan;
;;My School
T;;
;Take That ;
;;A Million Love Songs
;;Back For Good
;;Rule The World
;;Shine
;Take That feat. Lulu ;
;;Relight My Fire 
;Talking Heads;
;;Road to Nowhere
;Tarkan;
;;Simarik (Kiss Kiss)
;Taylor Swift ;
;;Blank Space
;;I Knew You Were Trouble
;;Love Story
;;Shake It Off
;;We Are Never Ever Getting Back Together
;Temptations ;
;;My Girl
;Tenacious D;
;;Tribute
;Tiffany ;
;;I Think We're Alone Now
;Tina Turner ;
;;Proud Mary
;;The Best
;TLC ;
;;No Scrubs
;Tom Jones ;
;;Delilah
;;Green Green Grass Of Home
;;It's Not Unusual
;Tom Jones And Cerys From Catatonia ;
;;Baby It's Cold Outside
;Tony Christie ;
;;Is This The Way To Amarillo
;Tool;
;;Schizm
;Toten Hosen, die;
;;Alles aus Liebe
;;Hier kommt Alex
;;Tage wie diese
;Toto;
;;Africa
;;I won't hold you back
;;Rosanna
;Toy Dolls;
;;Nellie The Elephant
;Tracy Chapman ;
;;Fast Car
;Traditional ;
;;Auld Lang Syne
;;Away In A Manger
;;Frosty The Snowman
;;Happy Birthday (With Vocals)
;;Rudolph The Red-Nosed Reindeer
;;Santa Claus Is Coming To Town
;;Silent Night
U;;
;U2 ;
;;One
;;With Or Without You
;UB40 ;
;;Kingston Town
;;Red Red Wine
V;;
;Van Morrison ;
;;Brown Eyed Girl
;Vanessa Carlton ;
;;A Thousand Miles
;Vanilla Ice ;
;;Ice Ice Baby
;Village People ;
;;Y.M.C.A.
W;;
;Weather Girls ;
;;It's Raining Men
;Weird Al Yankovic;
;;The Saga Begins
;;White and Nerdy
;;Yoda
;Westlife ;
;;Flying Without Wings
;;You Raise Me Up
;Wet Wet Wet ;
;;Love Is All Around
;;Sweet little Mystery
;Wham! ;
;;Club Tropicana
;;Last Christmas
;;Wake Me Up Before You Go Go
;Wheatus;
;;Teenage Dirtbag
;Whitney Houston;
;;I Have Nothing
;;I Wanna Dance With Somebody (Who Loves Me)
;;I Will Always Love You
;;Same Script, Different Cast - (feat D. Cox)
;;One Moment In Time
;;The Greatest Love Of All
;Wilson Phillips ;
;;Hold On
;Wizzard ;
;;I Wish It Could Be Christmas Everyday
X;;
;;
;;
;;
Y;;
;Yazz and the Plastic Population;
;;The Only Way Is Up
Z;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
